-476,3828,1609588740156,-579.6,3770.2
-225,3828,1609588741158,,
-361,3828,1609588742166,,
-270,3760,1609588743169,,
-232,3760,1609588744169,,
-267,3760,1609588745172,,
-217,3760,1609588746174,,
-245,3760,1609588747174,,
-518,3760,1609588748172,,
-355,3760,1609588749176,,
-452,3760,1609588750179,,
-1773,3760,1609588751451,,
-287,3760,1609588752455,,
-227,3760,1609588753458,,
-266,3760,1609588754458,,
-1048,3760,1609588755456,,
-512,3760,1609588756456,,
-1190,3760,1609588757498,,
-1529,3760,1609588758753,,
-1142,3760,1609588759838,,
-983,3760,1609588760839,-681.1,3701.05
-1611,3760,1609588761953,,
-570,3760,1609588762983,,
-362,3760,1609588763984,,
-503,3760,1609588764984,,
-302,3760,1609588765984,,
-267,3760,1609588766987,,
-1299,3760,1609588768471,,
-239,3760,1609588769476,,
-238,3760,1609588770476,,
-245,3760,1609588771477,,
-1049,3629,1609588772864,,
-258,3629,1609588773868,,
-1140,3629,1609588775915,,
-259,3629,1609588776917,,
-1081,3629,1609588778823,,
-240,3629,1609588779825,,
-1553,3629,1609588781327,,
-267,3629,1609588782329,,
-1156,3629,1609588783571,,
-208,3629,1609588784572,-839.6,3666.45
-1411,3629,1609588785788,,
-1362,3629,1609588787753,,
-1102,3629,1609588789729,,
-1081,3629,1609588791838,,
-252,3629,1609588792841,,
-212,3629,1609588793841,,
-427,3629,1609588794853,,
-357,3629,1609588795856,,
-282,3629,1609588796859,,
-275,3629,1609588797861,,
-265,3629,1609588798863,,
-1456,3629,1609588801683,,
-1501,3736,1609588805273,,
-252,3736,1609588806273,,
-1514,3736,1609588809760,,
-272,3736,1609588810760,,
-1516,3736,1609588813434,,
-1540,3736,1609588816879,,
-1507,3736,1609588820297,,
-1559,3736,1609588823770,-772,3621.55
-1480,3736,1609588827323,,
-1289,3736,1609588830731,,
-1394,3736,1609588834298,,
-1522,3593,1609588837967,,
-270,3593,1609588838970,,
-536,3593,1609588839969,,
-212,3593,1609588840969,,
-349,3593,1609588841969,,
-830,3593,1609588842970,,
-346,3593,1609588843972,,
-277,3593,1609588844974,,
-204,3593,1609588845975,,
-237,3593,1609588846979,,
-1487,3593,1609588852144,,
-261,3593,1609588853147,,
-1257,3593,1609588858035,,
-264,3593,1609588859037,,
-1434,3593,1609588864087,,
-232,3592,1609588865093,,
-1152,3592,1609588869905,-808.9,3590.7
-233,3592,1609588870908,,
-1406,3592,1609588876445,,
-410,3592,1609588877446,,
-1497,3592,1609588882243,,
-1285,3592,1609588887897,,
-303,3592,1609588888903,,
-1547,3592,1609588893725,,
-1160,3592,1609588899313,,
-1301,3592,1609588904834,,
-239,3592,1609588905839,,
-618,3592,1609588906837,,
-375,3592,1609588907842,,
-769,3592,1609588908838,,
-278,3592,1609588909840,,
-1522,3592,1609588917582,,
-254,3592,1609588918584,,
-313,3592,1609588919587,,
-1274,3592,1609588927757,,
-242,3566,1609588928760,,
