total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3697308,216107.254237288,1454.01694915254,1273432.47457627,2097148,16555784.5762712,3087839.76271186,13467944.8135593,8,2311135.59322034,13120.5084745763,-998.35593220339,3725,20,6516,24232.1950220339,s9
3697308,197678.714285714,1436.23214285714,1273523,2097148,36677816.8214286,4488400.82142857,32189416,8,2204196.42857143,13943.875,-1127,3725,20,6312,26498.2494,s9
3697308,216265.58490566,1454.43396226415,1273859.47169811,2097148,11822967.490566,2058941.67924528,9764025.81132076,8,2138377.35849057,14836.5471698113,-1127,3725,20,5513,23143.987475,s9
3697308,215768.528301887,1454.45283018868,1273995.62264151,2097148,12333855,3663013.18867925,8670841.81132076,8,2172716.98113208,15736.3962264151,-1193.79245283019,3725,20,5511,24506.7385231132,s9
3697308,215997.84,1454.66,1274064.24,2097148,11823458.18,2380302.34,9443155.84,8,2217540,16586.34,-1245,3725,20,5363,24871.582875,s9
3697308,230458.947368421,1468.68421052632,1274070.73684211,2097148,11107429.0175439,2479967.8245614,8627461.19298246,8,2180350.87719298,17480.0877192982,-1245,3725,20,6411,29731.813875,s9
3697308,234034.413793103,1472.24137931034,1274145.79310345,2097148,11874869.4655172,3263018.98275862,8611850.48275862,8,2192517.24137931,18438.1206896552,-1183.13793103448,3726.31034482759,20,6478,28559.8119660571,s9
3697308,225840.072727273,1464.23636363636,1274340.72727273,2097148,24083166.7454545,5116165,18967001.7454545,8,2135781.81818182,19251.2727272727,-1089,3744,20,6178,25189.040448,s9
3697308,214509.448275862,1454.55172413793,1275100.82758621,2097148,30295182.4137931,4292863.79310345,26002318.6206897,8,2229948.27586207,20062.6379310345,-1089,3744,20,6502,26510.058432,s9
3697308,229101.824561403,1468.08771929825,1275317.19298246,2097148,11209668.0526316,2809098.78947368,8400569.26315789,8,2206578.94736842,20985.2105263158,-1175.84210526316,3744,20,6362,28007.7687814737,s9
3697308,226733.632653061,1466.55102040816,1275325.14285714,2097148,10972872.3265306,2424091.10204082,8548781.2244898,8,2183734.69387755,21887.306122449,-1239,3744,20,5131,23801.764896,s9
3697308,224753.923076923,1464.5,1275512,2097148,10970846.4615385,2244501.23076923,8726345.23076923,8,2215000,22742.4615384615,-1239,3744,20,5661,26260.337376,s9
3697308,223846.222222222,1463.94444444444,1275650.81481482,2097148,10996156.2777778,2760357.46296296,8235798.81481481,8,2239611.11111111,23611.1111111111,-1265.38888888889,3744,20,6064,28728.903424,s9
3697308,220753.966101695,1460.89830508475,1275797.01694915,2097148,11787924.5932203,2452093.94915254,9335830.6440678,8,2187084.74576271,24539.9491525424,-1334,3744,20,6670,33313.28832,s9
3697308,216295.593220339,1456.52542372881,1275812,2097148,42779330.1355932,4772646.61016949,38006683.5254237,8,2388694.91525424,25418.4237288136,-1334,3744,20,6553,32728.932288,s9
3697308,257140.857142857,1496.55357142857,1275825.21428571,2097148,10949376.1428571,2565852.28571429,8383523.85714286,8,2215339.28571429,26239.1607142857,-1267.60714285714,3744,20,6281,29809.1306982857,s9
3697308,255942.357142857,1495.30357142857,1275832.85714286,2097148,11725645.2678571,2359698.98214286,9365946.28571429,8,2138035.71428571,27150.5535714286,-1165,3744,20,6318,27557.59968,s9
3697308,258176.16,1497.52,1275835.36,2097148,10915151.62,2488246.34,8426905.28,8,2118220,27963.46,-1165,3744,20,5284,23047.53984,s9
3697308,255874.64,1495.46,1275839.52,2097148,11302251.04,1451500,9850751.04,8,2205320,28773.68,-1035.08,3744,20,5461,21163.22911872,s9
3697308,317702.153846154,1521.6,1240460,2097148,10961263.7538462,2495484.43076923,8465779.32307692,8,1718600,97329.2615384615,-781,3717,20,7354,21348.492858,s9
3697308,317429.846153846,1520.70769230769,1240463.13846154,2097148,10769218.7076923,2068678.89230769,8700539.81538462,8,1741200,98407.9384615385,-781,3717,20,7346,21325.269042,s9
3697308,315296,1519.6231884058,1241346.60869565,2097148,10703925.4492754,2836842.7826087,7867082.66666667,8,1690000,99456.231884058,-760.304347826087,3717,20,7213,20384.3077446522,s9
