total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
7470396,536266.8085,3272.744681,2816129.362,2621436,18987054.19,3449598.191,15537456,8,2588382.979,25792.70213,-1019.361702,4150,20,5170,21870.915,s10
7470396,524777.6522,3262.021739,2816435.13,2621436,19807960.24,4644569.978,15163390.26,8,2586304.348,26580.95652,-1082.782609,4150,20,5118,22997.97777,s10
7470396,526724.9524,3264.619048,2816677.619,2621436,11686396.9,2941295.952,8745100.952,8,2478714.286,27330.04762,-1160.619048,4150,20,4719,22729.38934,s10
7470396,517811.3333,3260.357143,2821531.238,2621436,11700939.74,2431456.881,9269482.857,8,2567380.952,28034.02381,-1155.380952,4150,20,4637,22233.63113,s10
7470396,507923.5556,3251.155556,2821535.644,2621436,21833975.11,4923750.756,16910224.36,8,2620888.889,28764.88889,-1014.066667,4150,20,5059,21290.17756,s10
7470396,508320.4348,3251.065217,2821544,2621436,20561457.26,5226939.348,15334517.91,8,2585304.348,29546.36957,-1059.543478,4076,20,5135,22176.52048,s10
3622616,140113.037,2122.435185,2033752.222,2097148,6136352.713,984570.4167,5151782.296,8,2373944.444,1263.75,96,3815,20,13486,4939.11264,s7
3622616,144027.9111,2111.244444,2018547.067,2097148,6306855.767,895495.8556,5411359.911,8,2321511.111,3242.866667,96,3811,20,10982,4017.830592,s7
3622616,144662.6526,2112.221053,2018685.263,2097148,6520318.695,1024659.242,5495659.453,8,2184000,5090.178947,-615.5789474,3811,20,11597,27206.22996,s7
3622616,144711.8077,2112.201923,2018818.769,2097148,6512288.529,901196.0673,5611092.462,8,2056000,7033.230769,-1204,3703,20,12402,55293.22562,s7
3622616,155306.422,2123.568807,2019785.174,2097148,6454413.596,993970.2202,5460443.376,8,1968366.972,9063.678899,-1158.311927,3703,20,12857,55146.61808,s7
3622616,163687.3115,2133.270492,2021411.377,2097148,6634490.803,988582.4098,5645908.393,8,1768000,11240.40984,-872,3703,20,14435,46610.84596,s7
3622616,166704.6774,2136.322581,2021435.194,2097148,7088233.927,1070937.089,6017296.839,8,1761290.323,13573.45968,-851.3548387,3719,20,14612,46264.34848,s7
3622616,135762.3301,2106.446602,2021611.883,2097148,6481531.32,772373.7087,5709157.612,8,2166834.951,15675.54369,-552,3719,20,11888,24404.73254,s7
3622616,119589.4118,2090.705882,2021832,2097148,6367094.965,1233933.271,5133161.694,8,2592658.824,17391.69412,-552,3744,20,10002,20671.01338,s7
