Samsung Galaxy S9_x,Samsung Galaxy S9_y,Samsung Galaxy A5_x,Samsung Galaxy A5_y,Samsung Galaxy S8_x,Samsung Galaxy S8_y,Samsung Galaxy NOTE9_x,Samsung Galaxy NOTE9_y,Samsung Galaxy J5_x,Samsung Galaxy J5_y,Samsung Galaxy A8_x,Samsung Galaxy A8_y,Samsung Galaxy NOTE8_x,Samsung Galaxy NOTE8_y,Samsung Galaxy S7_x,Samsung Galaxy S7_y
0.1029538139700889,0.0885881707072258,0.0790086537599563,-0.0407014302909374,0.129290834069252,-0.0478854961693286,0.1029538139700889,0.0885881707072258,0.0143652101978659,0.0227449163794517,0.1173158809542656,0.0526724383234977,0.2442160248756408,0.0526740476489067,0.0143656488507986,-0.0598568692803382
0.0957709923386573,0.0766167938709259,0.102950669825077,-0.0383072271943092,0.1364736706018448,-0.0383083969354629,0.0957709923386573,0.0766167938709259,0.0215478148311376,0.0107739074155688,0.1268926858901977,0.0574608407914638,0.2681587934494018,0.0550683215260505,0.0215484723448753,-0.0670396983623504
0.0981652662158012,0.0885881707072258,0.1101332753896713,-0.0478840321302413,0.1388679444789886,-0.0095770992338657,0.0981652662158012,0.0885881707072258,0.0179565120488405,0.029927521944046,0.0957680642604827,0.0885854661464691,0.2753416001796722,0.0550683215260505,0.0215484723448753,-0.0478854961693286
0.1029538139700889,0.0694339722394943,0.1221042871475219,-0.0478840321302413,0.1484450399875641,-0.0335198491811752,0.1029538139700889,0.0694339722394943,0.0275333188474178,0.0179565120488405,0.1125274822115898,0.0526724383234977,0.2705530524253845,0.0526740476489067,0.0143656488507986,-0.0790110677480697
0.0909824445843696,0.0790110677480697,0.0981622710824012,-0.0430956296622753,0.1412622183561325,-0.0383083969354629,0.0909824445843696,0.0790110677480697,0.0167594123631715,0.0167594123631715,0.1149216815829277,0.0670376494526863,0.2537931203842163,0.0287312977015972,0.035914123058319,-0.074222519993782
0.1005595400929451,0.0837996155023574,0.1053448766469955,-0.0478840321302413,0.1460507661104202,-0.0095770992338657,0.1005595400929451,0.0837996155023574,0.0227449163794517,0.0251391176134347,0.1268926858901977,0.0454898327589035,0.2537931203842163,0.0622511431574821,0.0143656488507986,-0.0790110677480697
0.0957709923386573,0.074222519993782,0.1125274822115898,-0.0478840321302413,0.1316851079463958,-0.0095770992338657,0.0957709923386573,0.074222519993782,0.0191536135971546,0.0167594123631715,0.1244984865188598,0.0646434426307678,0.2490045726299286,0.0574625954031944,0.0191541984677314,-0.0909824445843696
0.112530916929245,0.0694339722394943,0.1125274822115898,-0.0478840321302413,0.1197137385606765,-0.0407026708126068,0.112530916929245,0.0694339722394943,0.0239420160651206,0.0203507151454687,0.1460463106632232,0.0478840321302413,0.2561874091625213,0.0526740476489067,0.031125571578741,-0.0454912222921848
0.1029538139700889,0.0670396983623504,0.1173158809542656,-0.0430956296622753,0.1412622183561325,-0.0335198491811752,0.1029538139700889,0.0670396983623504,0.0167594123631715,0.0287304203957319,0.1412578970193863,0.0430956296622753,0.2537931203842163,0.0670396983623504,0.0287312977015972,-0.0718282461166381
0.0981652662158012,0.0837996155023574,0.0837970599532127,-0.0478840321302413,0.1436564922332763,-0.0191541984677314,0.0981652662158012,0.0837996155023574,0.0203507151454687,0.0179565120488405,0.119710087776184,0.0430956296622753,0.2657645046710968,0.0502797700464725,0.0383083969354629,-0.0790110677480697
