0,1,2,3,4,5,6,7,8,9,10,11
58898405685.600006,44427137695.200005,40511788668.0,58398206911.200005,36695616984.0,37579588956.0,38338511234.4,44155478016.0,58557753072.00001,64698124233.600006,87625338746.40001,141215600541.6
32258508890.4,30067983223.2,34367105448.0,31391785152.000004,29149514784.000004,31978225094.4,31176182232.000004,32456863576.800003,35251077420.0,45147251448.00001,62542095033.600006,103506649833.6
96650476977.6,32724211197.600002,31301231925.600002,28459585440.000004,31460778086.4,40925746274.4,36868099320.0,33077799986.4,33970396075.200005,41667420319.200005,60989754009.600006,102066422328.00002
63555428757.600006,28701060710.4,28235358403.2,27187528212.000004,26411357700.000004,30714791983.2,81553960519.20001,28640691892.800003,32547416803.200005,42404782305.600006,62671456785.600006,103454905132.8
38774029132.8,42775619328.0,25738676589.600002,27968010782.4,30162848508.000004,28468209556.800003,33996268425.600002,34841431872.0,40934370391.200005,41870087064.0,100634818939.20001,99970761945.6
30964891370.4,49299763687.200005,51145324682.4,51968927836.8,58152419582.4,57423681712.8,79492796604.0,44746230016.8,45854429025.600006,61425271908.00001,88276459564.8,124920331848.00002
39701121688.8,29546224156.800003,36846539028.0,26510535043.2,24505427887.2,24958194019.2,24828832267.2,27187528212.000004,31210678699.200005,41111164785.600006,59954859993.600006,100259669858.40001
33504693768.000004,38774029132.8,23319611827.2,27234960854.4,27687726986.4,25721428356.000004,29770451193.600002,29080521849.600002,77711916484.8,40291873689.600006,59687512372.8,97840605096.00002
34384353681.600006,23065200381.600002,24026789404.800003,24220832032.800003,26950365000.000004,26752010313.600002,26010336268.800003,29804947660.800003,34229119579.200005,57445242004.8,58915653919.200005,97223980744.8
30249089676.000004,24820208150.4,70993729497.6,32896693533.600002,28834734520.800003,35195020660.8,59484845628.00001,37122510765.600006,31542707196.000004,42771307269.600006,59221810065.600006,99509371696.8
36216978501.600006,24328633492.800003,35039786558.4,26911556474.4,25829229816.000004,23177313900.000004,23992292937.600002,27351386431.2,33000182935.200005,42598824933.600006,58437015436.8,98504662089.6
21987185781.600002,26463102400.800003,26139698020.800003,24285512908.800003,29597968857.600002,26251811539.2,28420776914.4,27890393731.2,32021345678.4,41154285369.600006,58087738706.4,102432947292.00002
23492094163.2,24570108763.2,29296124769.600002,29399614171.2,71722467367.20001,26277683889.600002,25747300706.4,27489372300.000004,33349459665.600002,41387136523.200005,59989356460.8,101182450356.00002
21939753139.2,23500718280.000004,27312577905.600002,27010733817.600002,25932719217.600002,34487843083.200005,28614819542.4,38661915614.4,32461175635.200005,41598427384.8,58734547466.4,99802591668.00002
24138902923.2,26105201553.600002,26484662692.800003,33112296453.600002,24798647858.4,30093855573.600002,26428605933.600002,27627358168.800003,32064466262.4,41128413019.200005,58717299232.8,101048776545.6
34483531024.8,25915470984.000004,25699868064.000004,24130278806.4,25070307537.600002,27877457556.000004,29313373003.2,30007614405.600002,36173857917.600006,43030030773.600006,60610292870.4,102191472021.6
24427810836.000004,25441144560.000004,23673200616.000004,25518761611.2,25363527508.800003,25143612530.4,26135385962.4,30744976392.000004,33789289622.4,41546682684.0,58449951612.00001,97629314234.40001
26027584502.4,28282791045.600002,24358817901.600002,23522278572.000004,25747300706.4,25268662224.000004,26764946488.800003,33841034323.200005,33181289388.000004,54103396744.8,60830207848.8,98405484746.40001
25264350165.600002,28330223688.000004,23009143622.4,23043640089.600002,27204776445.600002,26018960385.600002,26825315306.4,28701060710.4,34522339550.4,81493591701.6,58251596925.600006,98759073535.20001
44177038308.00001,23272179184.800003,25781797173.600002,24703782573.600002,31020948129.600002,29537600040.000004,25083243712.800003,27519556708.800003,31654820714.4,40485916317.600006,57721213742.4,99556804339.20001
31115813414.4,24660661989.600002,27929202256.800003,22569313665.600002,24595981113.600002,26251811539.2,27127159394.4,29438422696.800003,48338174664.00001,48730571978.4,58963086561.600006,99492123463.20001
25009938720.000004,29020153032.000004,23052264206.4,22793540702.4,25475641027.2,25932719217.600002,27131471452.800003,33008807052.000004,36695616984.0,45522400528.8,60843144024.00001,97995839198.40001
22422703680.000004,26885684124.000004,24125966748.000004,24005229112.800003,29145202725.600002,27217712620.800003,26859811773.600002,57346064661.600006,32124835080.000004,40395363091.200005,58010121655.200005,97827668920.8
26717513846.4,38416128285.600006,23970732645.600002,25182421056.000004,25040123128.800003,27153031744.800003,26851187656.800003,32051530087.200005,35574481800.0,45414599068.8,58924278036.00001,102036237919.20001
22629682483.2,28123244884.800003,23849995010.4,24501115828.800003,26303556240.000004,26178506546.4,30546621705.600002,28843358637.600002,33095048220.000004,43387931620.8,61852165689.600006,97991527140.00002
24833144325.600002,24436434952.800003,28075812242.4,28541514549.600002,24320009376.000004,23414477112.000004,24013853229.600002,27153031744.800003,31784182466.4,40865377456.8,58035994005.600006,99207527608.8
28149117235.2,26070705086.4,26355300940.800003,26225939188.800003,28778677761.600002,25639499246.4,33060551752.800003,31158933998.4,32840636774.4,41119788902.4,60614604928.8,99466251112.8
30757912567.2,33142480862.4,26614024444.800003,80243094765.6,72183857616.0,26368237116.000004,26855499715.2,31637572480.800003,32267133007.200005,41831278538.4,58221412516.8,99621485215.20001
32465487693.600002,26855499715.2,25014250778.4,24414874660.800003,28994280681.600002,37182879583.200005,25880974516.800003,27027982051.2,34440410440.8,42266796436.8,59165753306.4,101686961188.8
24143214981.600002,23539526805.600002,26182818604.800003,26626960620.000004,24104406456.000004,29127954492.000004,27252209088.000004,33728920804.800003,33940211666.4,42534144057.600006,57712589625.600006,99673229916.00002
27661854636.000004,22720235709.600002,23336860060.800003,26618336503.2,24884889026.4,30149912332.800003,28813174228.800003,40740327763.200005,36721489334.4,42365973780.0,59027767437.600006,99742222850.40001
22237285168.800003,53262545356.8,38101348022.4,24393314368.800003,26773570605.600002,28946848039.2,27566989351.2,27256521146.4,32098962729.600002,40334994273.600006,58212788400.00001,100324350734.40001
